time,j_pelvis_l,j_thigh1_l,j_thigh2_l,j_tibia_l,j_ankle1_l,j_ankle2_l,j_pelvis_r,j_thigh1_r,j_thigh2_r,j_tibia_r,j_ankle1_r,j_ankle2_r
0.051,-0.0,0.0008,0.5562,-1.105,-0.5446,-0.0002,0.0,0.0009,-0.5444,1.1064,0.5577,-0.0005
0.071,-0.0,0.0006,0.5564,-1.1046,-0.5453,0.0004,-0.0,0.0007,-0.5444,1.1056,0.5578,-0.0002
0.098,0.0,0.0003,0.5569,-1.1041,-0.5462,0.0004,-0.0,0.0004,-0.5448,1.1049,0.5586,0.0001
0.122,-0.0,0.0002,0.5577,-1.1036,-0.5466,0.0,-0.0,0.0002,-0.5455,1.1041,0.5592,-0.0
0.146,-0.0,0.0001,0.5582,-1.1036,-0.5458,-0.0001,-0.0,0.0003,-0.5459,1.1039,0.5586,-0.0001
0.185,-0.0,0.0002,0.5582,-1.1039,-0.5453,-0.0001,-0.0,0.0003,-0.5459,1.1043,0.558,-0.0001
0.217,-0.0,0.0002,0.5579,-1.1039,-0.5458,-0.0002,-0.0,0.0004,-0.5457,1.1043,0.5583,-0.0002
0.251,-0.0,0.0003,0.5579,-1.1038,-0.5457,-0.0002,-0.0,0.0004,-0.5457,1.1043,0.5584,-0.0003
0.282,-0.0,0.0004,0.5578,-1.1038,-0.5457,-0.0002,-0.0,0.0005,-0.5456,1.1044,0.5584,-0.0004
0.324,-0.0,0.0005,0.5578,-1.1038,-0.5457,-0.0002,-0.0,0.0006,-0.5456,1.1044,0.5584,-0.0004
0.347,-0.0,0.0005,0.5577,-1.1038,-0.5456,-0.0003,-0.0,0.0006,-0.5456,1.1045,0.5584,-0.0005
0.37,-0.0,0.0006,0.5576,-1.1038,-0.5456,-0.0003,-0.0,0.0007,-0.5456,1.1046,0.5584,-0.0005
0.402,-0.0,0.0007,0.5576,-1.1038,-0.5456,-0.0004,-0.0,0.0007,-0.5456,1.1047,0.5585,-0.0006
0.419,-0.0,0.0007,0.5575,-1.1038,-0.5455,-0.0004,-0.0,0.0008,-0.5456,1.1048,0.5585,-0.0006
0.445,-0.0,0.0008,0.5574,-1.1037,-0.5455,-0.0005,-0.0,0.0009,-0.5456,1.1049,0.5585,-0.0007
0.47,-0.0,0.0008,0.5573,-1.1037,-0.5454,-0.0005,-0.0,0.0009,-0.5456,1.105,0.5585,-0.0008
0.497,-0.0,0.0009,0.5573,-1.1037,-0.5453,-0.0006,-0.0,0.001,-0.5455,1.1051,0.5584,-0.0008
0.524,-0.0,0.0009,0.5572,-1.1037,-0.5453,-0.0007,-0.0,0.001,-0.5455,1.1052,0.5585,-0.0009
0.55,-0.0,0.001,0.5571,-1.1036,-0.5452,-0.0007,-0.0,0.0011,-0.5455,1.1053,0.5585,-0.0009
0.578,-0.0,0.001,0.557,-1.1036,-0.5451,-0.0008,-0.0,0.0011,-0.5455,1.1054,0.5584,-0.001
0.601,-0.0,0.0011,0.557,-1.1036,-0.5451,-0.0008,-0.0,0.0012,-0.5455,1.1055,0.5584,-0.001
0.627,-0.0,0.0011,0.5569,-1.1036,-0.545,-0.0009,-0.0,0.0012,-0.5455,1.1056,0.5584,-0.0011
0.658,-0.0,0.0012,0.5568,-1.1036,-0.545,-0.0009,-0.0,0.0013,-0.5455,1.1057,0.5584,-0.0011
0.682,-0.0,0.0012,0.5568,-1.1036,-0.5449,-0.001,-0.0,0.0013,-0.5455,1.1058,0.5584,-0.0012
0.709,-0.0,0.0012,0.5567,-1.1036,-0.5448,-0.001,-0.0,0.0013,-0.5454,1.1059,0.5584,-0.0012
0.733,-0.0,0.0013,0.5566,-1.1036,-0.5447,-0.001,-0.0,0.0013,-0.5454,1.1059,0.5583,-0.0012
0.762,-0.0,0.0013,0.5566,-1.1036,-0.5447,-0.001,-0.0,0.0014,-0.5454,1.106,0.5583,-0.0012
0.787,-0.0,0.0013,0.5565,-1.1036,-0.5447,-0.0011,-0.0,0.0014,-0.5453,1.1061,0.5583,-0.0013
0.812,0.0,0.0013,0.5564,-1.1036,-0.5445,-0.0011,-0.0,0.0014,-0.5453,1.1062,0.5582,-0.0013
0.84,0.0,0.0013,0.5564,-1.1037,-0.5445,-0.0011,-0.0,0.0014,-0.5453,1.1062,0.5582,-0.0013
0.865,0.0,0.0013,0.5563,-1.1037,-0.5445,-0.0011,-0.0,0.0014,-0.5452,1.1063,0.5582,-0.0013
0.891,0.0,0.0013,0.5563,-1.1037,-0.5444,-0.0011,-0.0,0.0014,-0.5452,1.1064,0.5581,-0.0013
0.916,0.0,0.0013,0.5562,-1.1038,-0.5443,-0.0011,-0.0,0.0014,-0.5451,1.1064,0.5581,-0.0013
